題目,選項1.,選項2.,選項3.,選項4.,標準答案
繪畫,lipstick,painting,fiction,missile,2
混合,mingle,hurdle,episode,intervention,1
植物,vegetation,heritage,attitude,disclosure,1
女巫,forward,heap,currency,witch,4
推斷,defensible,publicize,infer,exchange,3
歷史學家,historian,physician,revenue,organizer,1
破爛的,comparison,visual,shabby,pursuit,3
努力,endeavor,field,likewise,vigor,1
登記,adolescent,registration,literature,aside,2
多變的,currency,dust,disperse,variable,4
複雜的,pitch,complex,official,hurdle,2
大道,boulevard,fountain,possibility,rxrcute,1
完成,contrary,vocational,distribution,accomplish,4
哪個,determine,boycott,beautify,which,4
隊伍,wreck,procession,glitter,diaper,2
專家小組,ransom,emerge,panel,disturb,3
公司,corporation,ego,fishery,situation,1
去除,realize,strip,remove,sticky,3
抗拒的,lighthouse,scope,typist,resistant,4
宣傳,publicize,carve,rabbit,moss,1
如畫的,gap,nuisance,whoever,picturesque,4
戰爭,psychology,tilt,warfare,vein,3
劇作家,allocate,playwright,stir,ereality,2
繁榮,innovation,prosperity,icebox,elastic,2
工業化,industrialize,logic,designate,morality,1
得到,obtain,ostrich,less,deck,1
程序,rail,explanation,procedure,intellectual,3
活力,vigor,thousand,table,universal,1
營養,commentator,mirror,nutrient,novelist,3
保險,mayor,arithmetic,comma,assurance,4
刮,limitation,bar,shave,essential,3
諮詢,strategic,repress,counsel,animate,3
一模一樣的,sole,dazzle,identical,click,3
簡單的,reluctant,straightforward,filter,strengthen,2
攝影師,yoga,proportion,photographer,lollipop,3
本質,ingenious,harmful,essence,partial,3
天文學,pill,creativity,astronomy,attain,3
顧問,excerpt,whistle,adviser,awe,3
囚禁,scent,elsewhere,captivity,illustrate,3
鰭,silkworm,escalator,rigid,fin,4
虛榮,vanity,yeast,mood,prohibit,1
福音,gospel,complexion,traveler,broom,1
冊子,proverb,species,vowel,pamphlet,4
閃爍,gleam,collector,outset,prey,1
使嚇一跳,startle,worthwhile,tolerant,strip,1
嫉妒的,envious,peer,vacant,papaya,1
分期付款,subject,installment,warrior,swap,2
焦油,linger,tar,remedy,knot,2
過去,used to,luxurious,sway,retrieve,1
實事求是的,lunatic,emigrate,county,realistic,4
堡壘,bandit,arise,romantic,fort,4
架子,rack,cripple,lad,substitude,1
出版社,reflect,beckon,publisher,tummy,3
中尉,rage,impulse,lieutenant,inch,3
改革,scout,kitten,evacuate,reform,4
整潔的,journey,neat,leap,picturesque,2
弱勢的,provoke,vulnerable,pebble,insistence,2
下定義,prevail,fade,define,statistical,3
刀片,soft,blade,deposit,investigate,2
帆船,timber,yacht,cellar,modest,2
笨蛋,notice,pharmacy,conserve,idiot,4
坑,efficiency,keeper,crater,pray,3
植物學,log,fiber,kitten,botany,4
筏,raft,lag,telegram,tale,1
古怪的,clench,eccentric,despise,treason,2
裝飾,decoration,oak,restraint,bull,1
嘲笑,taunt,tongue,slap,train,1
立體聲,strereo,economic,investigation,frequency,1
南極的,bolt,sportsman,Antarctic,displomacy,3
發光,glow,novice,justice,litter,1
缺點,particular,rear,jewelry,shortcoming,4
壺,solar,unite,kettle,crooked,3
果敢的,valiant,survivor,communist,cooperative,1
鼻息聲,snort,warranty,boast,inventory,1
明顯的,shed,evident,obey,equivalent,2
聲音,vocal,oversleep,honeymoon,graduation,1
金髮的,blond,longevity,cube,shovel,1
酒,patience,liquor,consolation,moisture,2
棚,traveler,hemisphere,shed,documentary,3
雄偉的,grand,fox,fad,frantic,1
投擲,aid,respectable,first,hurl,4
堅決的,emphatic,poisonous,engage,hardware,1
有資格的,pal,wish,distrust,eligible,4
飢餓,starve,thousand,stimulus,plague,1
傲慢的,notice,arrogant,kit,blaze,2
抑制,restrain,bead,broth,cave,1
和平的,aisle,intensive,pacific,accordance,3
抒情的,pyramid,descriptive,lyric,gear,3
滋味,harass,relish,productivity,roam,2
醜聞,scandal,connect,rotate,rib,1
想要的,literacy,weekly,desirable,imply,3
爬,rumble,crawl,remember,watermelon,2
廣闊的,cease,extensive,greed,assist,2
房客,union,tenant,zone,pension,2
緊急的,despite,hay,flip,imperative,4
滋養,nourish,excessive,legislator,armor,1
討人厭,scar,inject,nuisance,origin,3
沉思,sanction,feature,contemplation,exploration,3
喜愛,tiptoe,affection,crunch,commonplace,2
氣勢非凡的,pierce,imposing,comfort,intimidate,2
壯觀的,intensive,hemisphere,imposing,shovel,3
煩惱,necklace,polish,transplant,fret,4
合理性,pour,validity,first,computerize,2
至高無上的,station,audio,noun,sovereign,4
擁有,possess,concise,nonviolent,gao,1
繼續進行,technique,magnificent,state,proceed,4
種族歧視,precision,racism,wizard,sack,2
說明文字,upbringing,recreation,opportunity,caption,4
擦,wipe,inquire,tuberculosis,overall,1
直覺,poacher,innocence,stoop,instinct,4
哭泣,photography,weep,oak,madam,2
緊抱,tan,clasp,prairie,capability,2
呻吟,pub,fancy,moan,classification,3
抑制,staple,curb,breakup,store,2
發瘋的,frantic,guilty,original,triple,1
衣服破舊的,rhyme,rejoice,revolt,ragged,4
查閱,loudspeaker,consult,social,rural,2
嘔吐,vomit,fireproof,caution,pregnant,1
彗星,comet,massacre,brand,cashier,1
發誓,swear,aviation,massive,shaver,1
反駁,organism,edit,refute,migrate,3
方法,retort,liberal,means,receive,3
經營上的,model,quantity,mike,operational,4
操作,frantic,operational,caution,shaver,2
悲傷的,prospect,blossom,sorrowful,performance,3
孤兒,gospel,orphan,uphold,tune,2
相反的,politician,contrary,suppose,kidney,2
亭子,booth,table,constitution,aboard,1
俘虜,vital,prisoner,hijack,vet,2
包含,comprise,defend,preside,hasty,1
