題目,選項1.,選項2.,選項3.,選項4.,標準答案
極小的,gentle,tiny,diligent,piece,2
圍巾,locker,scarf,anything,snowman,2
醫生,doctor,cough,off,energy,1
飲食,candy,its,diet,hey,3
百萬,million,ankle,curve,thin,1
冷的,street,cold,forty,walk,2
麥片,office,cereal,planet,science,2
炒鍋,watermelon,wok,hunger,we,2
衝浪,surf,mind,neighbor,idea,1
這,the,weekday,bucket,rob,1
醋,mat,necessary,vinegar,during,3
體育館,private,snake,aim,gym,4
滑稽的,she,space,comic,at,3
鴿子,climate,game,pigeon,satisfy,3
出現,mathematics,maximum,form,seesaw,3
相似的,influence,nothing,lazy,similar,4
當地的,quite,sandwich,chopsticks,tonight,1
水手,sofa,tape,nest,sailor,4
蠟筆,light,beginner,cool,crayon,4
關注,focus,however,thing,zero,1
山羊,under,August,goat,prince,3
她自己,choose,herself,less,armchair,2
鵝,jazz,holiday,goose,college,3
野餐,picnic,give,try,backpack,1
霧,seed,nephew,Chinese,fog,4
航行,brown,pigeon,large,flight,4
誠實,case,shine,honesty,lesson,3
查出,trace,learn,sample,warm,1
現金,childhood,degree,sense,cash,4
西洋棋,eat,chess,ocean,thirteen,2
菸斗,fish,seed,isn't,pipe,4
一月,January,temperature,grow,asleep,1
同班同學,classmate,where,old,September,1
面具,mask,stay,table,happy,1
粉筆,daily,chalk,angel,theater,2
匙,suit,spoon,visitor,prince,2
坐落,exam,service,job,lie,4
天橋,overpass,storm,but,five,1
睡衣,number,almost,tooth,pajamas,4
藥妝店,strike,correct,drugstore,hole,3
樓上,upstairs,add,parrot,must,1
蹺蹺板,panda,scene,have,seesaw,4
幽默,humor,chocolate,hole,haven't,1
晚的,late,clean,freedom,begin,1
拒絕,treat,sixteen,language,reject,4
全國性的,Tursday,praise,natonal,tub,3
自助餐,mango,buffet,nature,speaker,2
超重的,overweight,classroom,get,enough,1
蝸牛,snail,inspire,court,limit,1
天鵝,president,tooth,swan,corn,3
不快樂的,unhappy,cancel,itself,female,1
票,famous,earn,shoe,ticket,4
碳酸飲料,watch,cola,nephew,seek,2
餐巾,napkin,nice-looking,taste,catch,1
地圖,map,cola,law,dining room,1
就要,fifteen,judge,shall,sincere,3
牛排,personal,guess,steak,camera,3
和平的,peaceful,lantern,watch,master,1
月臺,your,safe,platform,o'clock,3
動物園,soy sauce,snail,idea,zoo,4
菜單,pop music,loser,drop,menu,4
內衣,beyond,noodle,send,underwear,4
後面,truck,thirty,behind,wrist,3
桃子,study,off,homework,peach,4
小狗,puppy,ride,low,lot,1
錄音機,recorder,fresh,pressure,population,1
孫女,two,granddaughter,welcome,create,2
問答比賽,cook,peace,artist,quiz,4
讓我們,pot,let's,year,seldom,2
商店,ankle,none,shop,wound,3
聾的,program,aunt,deaf,iron,3
戲劇,drama,nation,video,pick,1
他們已經,prize,beginner,they've,dad,3
粗心的,confident,dictionary,grandma,careless,4
雪,snow,priest,trash,bone,1
家庭,yours,hurry,close,family,4
聰明的,envy,smart,improve,give,2
孫子,thirty,grandson,national,secretary,2
學期,term,mail,semester,recorder,3
沙拉,food,private,salad,cheese,3
已婚的,drive,married,rope,mail,2
打擾,bother,youth,lawyer,puppy,1
醫生,dentist,effort,button,poor,1
你自己,rude,let's,yourself,textbook,3
餓的,sneaky,among,hungry,it,3
排,home,line,guitar,welcome,2
助理,kilometer,fight,assistant,host,3
檢查,rich,all,check,work,3
星期五,usual,Friday,skill,hanger,2
他們自己,themselves,have,toy,ghost,1
令人興奮的,keep,August,exciting,itself,3
片,greet,slice,chin,secretary,2
活躍的,basket,she,that,active,4
氣候,forget,climate,grape,vocabulary,2
鸚鵡,quiz,parrot,obey,golden,2
隱形眼鏡,vacation,gentleman,contact lens,traditional,3
臀部,out,hip,polite,cousin,2
小圓麵包,bun,plus,scene,cup,1
都沒有,hill,nor,third,plus,2
英哩,boring,mile,hard-working,forty,2
八十,black,interest,eighty,sweep,3
八月,pollution,mirror,belong,August,4
旁邊,by,before,job,clap,1
她的,game,across,air,hers,4
進入,travel,into,bag,dear,2
番茄,dangerous,weak,cowboy,tomato,4
公主,small,month,princess,chicken,3
豆腐,glass,let's,tofu,grandma,3
下午,afternoon,forget,name,energy,1
好吃的,break,angel,yummy,seven,3
餐,grape,meal,tomorrow,itself,2
電纜,himself,gram,cable,strawberry,3
牛仔,cowboy,regular,loaf,twenty,1
分部,branch,active,basketball,taxi,1
操場,hen,playground,crime,clock,2
你的,knife,your,serious,soldier,2
方法,method,crab,country,decide,1
豬肉,bright,pork,scene,note,2
巧克力,ancient,chocolate,glass,drive,2
筷子,chopsticks,black,princess,fit,1
女演員,run,coast,actress,crime,3
但是,dig,noon,but,raise,3
暖氣機,department,heater,advertisement,sink,2
費用,car,comfortable,fee,childhood,3
爆米花,popcorn,damage,please,return,1
發現,pipe,discover,earrings,chart,2
堅持,visit,chin,a little,insist,4
爸爸,spaghetti,dad,writer,get,2
愚笨的,sixty,foolish,arrive,garden,2
前夕,eve,bus,waterfall,slim,1
是,pump,is,we,finish,2
有,ghost,build,there's,scientist,3
蚊子,interesting,mosquito,doughnut,hall,2
你好,toe,picnic,hello,spirit,3
數學,attention,homesick,math,festival,3
